playerID,year,stint,tmID,TotalGP,Points,TotalMinutes,TotaloRebounds,TotaldRebounds,TotalRebounds,TotalAssists,TotalSteals,TotalBlocks,TotalTurnovers,TotalPF,TotalfgAttempted,TotalfgMade,TotalftAttempted,TotalftMade,TotalthreeAttempted,TotalthreeMade,TotalGS,TotalDQ
abrossv01w,2,0,MIN,26,343,846,43,131,174,53,42,9,85,70,293,114,132,96,76,19,23,2
abrossv01w,3,0,MIN,27,314,805,45,101,146,60,42,10,92,73,316,119,116,56,60,20,27,0
abrossv01w,4,0,MIN,33,341,861,45,101,146,86,48,12,98,87,307,118,106,77,89,28,28,0
abrossv01w,5,0,MIN,24,166,529,20,63,83,48,31,4,46,49,162,57,50,30,61,22,13,0
abrossv01w,6,0,MIN,31,304,777,29,78,107,60,48,6,80,86,276,109,73,53,82,33,31,0
abrossv01w,7,0,MIN,34,263,724,44,62,106,54,34,1,61,66,241,99,62,41,65,24,2,0
abrossv01w,8,0,MIN,34,345,843,53,97,150,85,44,4,68,86,298,132,43,36,101,45,29,0
abrossv01w,9,0,CON,9,58,170,6,25,31,16,12,0,14,21,60,22,16,12,17,2,2,0
adamsjo01w,4,0,MIN,10,33,96,10,13,23,4,2,3,10,10,33,13,2,2,12,5,0,0
aguilel01w,3,0,UTA,30,43,145,0,11,11,18,3,2,11,6,33,14,7,4,21,11,0,0
ajavoma01w,9,0,HOU,34,273,604,33,27,60,59,31,6,55,85,284,94,91,72,68,13,2,1
ajavoma01w,10,0,WAS,36,291,621,28,41,69,40,41,4,52,90,269,91,116,79,90,30,4,1
aldrima01w,1,0,WAS,31,77,321,9,19,28,35,10,4,28,33,65,30,30,11,15,6,0,0
aldrima01w,2,0,WAS,5,7,35,2,0,2,2,0,0,4,5,9,3,1,1,3,0,0,0
alhalta01w,2,0,ORL,26,49,252,15,23,38,14,11,0,28,20,58,19,14,7,11,4,1,0
allench01w,9,0,SAC,8,16,52,2,4,6,3,1,0,7,6,16,7,0,0,6,2,0,0
amachma01w,2,0,NYL,2,1,3,1,0,1,0,0,1,1,2,0,0,2,1,0,0,0,0
amachma01w,4,0,SEA,7,8,47,4,10,14,0,5,2,9,3,10,3,4,2,0,0,0,0
amachma01w,6,0,WAS,3,2,3,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0
