year,tmID,confID,playoff,o_oreb,o_dreb,o_pf,o_stl,o_blk,o_pts,d_oreb,d_dreb,d_asts,d_pf,d_to,d_blk,d_pts,min,attend,RoundReached,winPercentage,homeWinPercentage,awayWinPercentage,of_goal,of_3pt,of_throw,of_reb,of_assist,df_goal,df_3pt,df_throw,df_reb,df_steal
9,ATL,EA,0,340,737,796,285,142,2534,401,864,684,726,561,134,2879,6825,141379,0,0.118,0.059,0.176,0.4,0.34,0.75,1077,0.83,0.45,0.34,0.74,1265,310
10,ATL,EA,1,404,855,741,329,121,2861,353,821,615,700,601,133,2797,6950,120737,1,0.529,0.706,0.353,0.45,0.3,0.75,1259,0.93,0.42,0.34,0.77,1174,347
1,CHA,EA,0,305,630,713,222,90,2186,326,664,596,596,426,123,2429,6475,90963,0,0.25,0.312,0.188,0.43,0.34,0.75,935,1.11,0.46,0.33,0.74,990,259
2,CHA,EA,1,309,639,605,217,114,2055,344,567,443,579,447,124,2009,6500,105525,3,0.562,0.688,0.438,0.42,0.36,0.78,948,0.99,0.4,0.31,0.77,911,257
3,CHA,EA,1,302,653,647,241,105,2241,295,620,489,600,424,103,2133,6450,106670,1,0.562,0.688,0.438,0.43,0.4,0.74,955,1.22,0.43,0.36,0.74,915,208
4,CHA,EA,1,342,629,697,279,115,2217,386,621,491,606,469,104,2195,6850,120061,1,0.529,0.765,0.294,0.42,0.36,0.77,971,1.0,0.42,0.34,0.72,1007,264
5,CHA,EA,0,256,616,648,210,134,2092,368,628,516,595,437,114,2168,6900,116383,0,0.471,0.588,0.353,0.43,0.36,0.74,872,0.89,0.41,0.37,0.75,996,243
6,CHA,EA,0,316,609,727,284,113,2095,355,700,496,654,534,146,2335,6945,98054,0,0.176,0.294,0.059,0.4,0.35,0.72,925,0.92,0.45,0.37,0.71,1055,269
7,CHA,EA,0,347,747,734,315,155,2456,370,870,522,707,619,125,2571,6825,106942,0,0.324,0.412,0.235,0.4,0.32,0.71,1094,0.92,0.42,0.33,0.75,1240,286
7,CHI,EA,0,357,680,674,277,125,2322,379,860,623,584,535,120,2687,6800,57635,0,0.147,0.176,0.118,0.39,0.29,0.7,1037,0.97,0.45,0.37,0.74,1239,262
8,CHI,EA,0,383,782,634,262,112,2525,379,846,584,683,566,138,2611,6972,66557,0,0.412,0.353,0.471,0.41,0.34,0.68,1165,1.17,0.43,0.38,0.78,1225,242
9,CHI,EA,0,357,770,639,269,149,2472,366,794,531,681,522,124,2510,6875,62146,0,0.353,0.471,0.235,0.43,0.32,0.69,1127,1.04,0.42,0.33,0.77,1160,255
10,CHI,EA,0,307,776,605,249,138,2573,359,797,610,636,489,121,2693,6825,66852,0,0.471,0.706,0.235,0.44,0.39,0.76,1083,1.0,0.44,0.35,0.78,1156,273
1,CLE,EA,1,331,603,647,259,91,2185,277,596,540,693,552,95,2122,6500,137532,2,0.531,0.812,0.25,0.44,0.35,0.75,934,1.0,0.44,0.32,0.78,873,305
2,CLE,EA,1,297,662,532,267,83,2004,297,594,434,597,496,127,1788,6425,147373,1,0.688,0.875,0.5,0.43,0.32,0.74,959,1.13,0.38,0.32,0.74,891,225
3,CLE,EA,0,295,674,567,221,83,2071,278,640,530,613,428,109,2140,6550,149084,0,0.312,0.25,0.375,0.42,0.32,0.78,969,1.06,0.43,0.34,0.76,918,242
4,CLE,EA,1,349,720,639,226,86,2229,300,704,510,659,467,135,2210,6825,125793,1,0.5,0.647,0.353,0.41,0.32,0.72,1069,1.11,0.42,0.36,0.77,1004,223
4,CON,EA,1,333,762,663,270,111,2384,366,812,553,669,476,88,2409,6875,102433,2,0.529,0.588,0.471,0.41,0.32,0.74,1095,1.2,0.41,0.32,0.76,1178,252
5,CON,EA,1,321,724,610,299,96,2335,306,757,565,627,492,113,2304,6900,114017,3,0.529,0.588,0.471,0.43,0.32,0.74,1045,1.24,0.43,0.38,0.74,1063,239
6,CON,EA,1,322,788,624,236,130,2474,350,728,495,675,442,79,2244,6800,121944,4,0.765,0.824,0.706,0.45,0.35,0.74,1110,1.27,0.4,0.3,0.75,1078,258
7,CON,EA,1,342,926,530,252,153,2683,370,783,528,646,486,103,2417,6825,126096,2,0.765,0.824,0.706,0.44,0.34,0.81,1268,1.23,0.4,0.32,0.72,1153,273
8,CON,EA,1,354,868,641,272,156,2675,337,842,581,633,524,85,2593,6925,135490,1,0.529,0.471,0.588,0.43,0.34,0.78,1222,1.15,0.42,0.34,0.76,1179,246
9,CON,EA,1,370,869,629,211,97,2690,360,840,554,703,499,104,2541,6850,129951,1,0.618,0.765,0.471,0.42,0.33,0.75,1239,1.25,0.42,0.32,0.74,1200,252
10,CON,EA,0,358,826,677,250,130,2651,329,945,525,684,549,125,2654,6975,115496,0,0.471,0.706,0.235,0.41,0.32,0.75,1184,1.34,0.43,0.32,0.79,1274,248
1,DET,EA,0,341,644,701,260,88,2331,331,640,513,672,543,148,2426,6425,107289,0,0.438,0.5,0.375,0.44,0.28,0.74,985,0.95,0.46,0.37,0.74,971,284
2,DET,EA,0,324,621,602,225,82,2103,279,702,438,591,483,109,2269,6550,109348,0,0.312,0.375,0.25,0.4,0.35,0.76,945,0.94,0.46,0.37,0.77,981,262
3,DET,EA,0,360,719,609,201,132,2114,314,669,465,637,443,139,2266,6450,94171,0,0.281,0.438,0.125,0.4,0.3,0.73,1079,0.88,0.42,0.33,0.77,983,277
4,DET,EA,1,379,851,605,263,158,2553,390,674,504,774,497,129,2395,6900,133647,4,0.735,0.765,0.706,0.45,0.39,0.71,1230,0.9,0.4,0.3,0.74,1064,309
5,DET,EA,1,397,773,648,277,148,2366,325,730,515,728,496,131,2381,6850,160860,1,0.5,0.471,0.529,0.42,0.3,0.7,1170,1.1,0.41,0.36,0.77,1055,289
6,DET,EA,1,412,803,761,241,155,2247,273,745,473,744,520,136,2287,6925,159356,1,0.471,0.706,0.235,0.4,0.32,0.66,1215,0.83,0.4,0.34,0.75,1018,272
7,DET,EA,1,406,880,711,213,137,2527,324,760,474,733,506,108,2384,6825,159453,4,0.676,0.824,0.529,0.41,0.33,0.74,1286,1.07,0.39,0.31,0.75,1084,275
8,DET,EA,1,380,931,702,227,117,2697,309,780,546,767,529,117,2540,6850,165738,3,0.706,0.706,0.706,0.43,0.36,0.76,1311,1.0,0.4,0.33,0.76,1089,276
9,DET,EA,1,405,843,724,278,118,2672,324,761,520,762,572,119,2522,6875,162669,4,0.647,0.824,0.471,0.42,0.35,0.75,1248,1.22,0.41,0.35,0.76,1085,229
10,DET,EA,1,373,853,766,261,97,2652,320,781,524,716,531,110,2644,6975,136069,2,0.529,0.647,0.412,0.43,0.35,0.75,1226,1.05,0.41,0.34,0.78,1101,279
1,HOU,WE,1,273,724,554,284,104,2475,290,612,473,648,480,85,2066,6475,196077,4,0.844,0.875,0.812,0.47,0.35,0.82,997,1.12,0.41,0.3,0.73,902,233
2,HOU,WE,1,348,710,509,251,95,2047,297,685,452,561,433,120,1994,6450,181115,1,0.594,0.688,0.5,0.39,0.32,0.77,1058,0.98,0.39,0.33,0.72,982,248
3,HOU,WE,1,299,702,467,260,126,2072,309,664,446,606,464,71,1892,6425,188648,1,0.75,0.875,0.625,0.42,0.33,0.77,1001,0.99,0.38,0.31,0.73,973,262
4,HOU,WE,1,266,764,490,231,129,2244,298,708,516,634,430,122,2142,6825,150203,1,0.588,0.824,0.353,0.43,0.33,0.79,1030,1.03,0.41,0.34,0.73,1006,227
5,HOU,WE,0,311,724,555,242,107,2177,335,720,539,655,471,129,2211,6850,137455,0,0.382,0.529,0.235,0.41,0.34,0.74,1035,0.93,0.42,0.35,0.74,1055,258
6,HOU,WE,1,276,684,581,246,105,2309,274,687,541,685,481,111,2263,6875,120676,2,0.559,0.647,0.471,0.45,0.3,0.76,960,1.1,0.44,0.35,0.75,961,197
7,HOU,WE,1,303,822,617,252,84,2507,337,787,526,705,519,89,2449,6925,130586,1,0.529,0.706,0.353,0.44,0.36,0.71,1125,0.94,0.42,0.3,0.72,1124,298
8,HOU,WE,0,374,770,655,289,109,2510,342,721,588,677,568,160,2628,6800,138816,0,0.382,0.412,0.353,0.43,0.35,0.77,1144,0.88,0.42,0.35,0.8,1063,310
9,HOU,WE,0,376,803,728,295,120,2561,349,743,542,744,555,165,2606,6925,111951,0,0.5,0.765,0.235,0.42,0.32,0.76,1179,0.93,0.41,0.38,0.75,1092,313
1,IND,EA,0,285,647,642,271,126,2213,321,633,528,612,476,75,2290,6425,180270,0,0.281,0.312,0.25,0.43,0.37,0.75,932,0.97,0.45,0.3,0.75,954,267
2,IND,EA,0,286,649,600,242,118,2153,306,660,565,616,466,140,2249,6475,138922,0,0.312,0.438,0.188,0.42,0.35,0.8,935,0.93,0.45,0.36,0.71,966,256
3,IND,EA,1,315,633,559,268,100,2097,288,644,507,647,470,145,2129,6425,134945,1,0.5,0.625,0.375,0.4,0.33,0.78,948,1.02,0.44,0.35,0.71,932,226
4,IND,EA,0,334,654,668,299,121,2337,309,677,570,631,512,170,2321,6875,141778,0,0.471,0.647,0.294,0.42,0.35,0.8,988,1.14,0.44,0.37,0.77,986,227
5,IND,EA,0,396,705,639,261,134,2198,281,688,514,603,466,162,2245,6850,128989,0,0.441,0.588,0.294,0.39,0.35,0.78,1101,1.14,0.43,0.34,0.74,969,268
